trial,stage,score,val_mean,val_det_mean,val_pfa_mean,test_mean,test_det_mean,test_pfa_mean,duration_sec,log_dir,alpha,lamb,lr
0,lr,0.07426251550224072,0.19471924503644308,0.5,1.0,nan,nan,nan,90.78372263908386,logs/tuning/rwalk/2026-04-02_11-51-11-5040/runs/rwalk/tuning_sweep_CIL_tune_000_lr-3em02-2026-04-02_11-51-11-5040-trial000/0,,,0.03
1,lr,0.07673169461926971,0.1941113074620565,0.49940475821495056,1.0,nan,nan,nan,90.85038232803345,logs/tuning/rwalk/2026-04-02_11-51-11-5040/runs/rwalk/tuning_sweep_CIL_tune_001_lr-1em02-2026-04-02_11-51-11-5040-trial001/0,,,0.01
2,lr,0.05461299066338832,0.14924236635367075,0.499462366104126,1.0,nan,nan,nan,89.41612124443054,logs/tuning/rwalk/2026-04-02_11-51-11-5040/runs/rwalk/tuning_sweep_CIL_tune_002_lr-3em03-2026-04-02_11-51-11-5040-trial002/0,,,0.003
3,lr,0.08716455017758325,0.19438379257917404,0.4935937722524007,1.0,nan,nan,nan,90.87679958343506,logs/tuning/rwalk/2026-04-02_11-51-11-5040/runs/rwalk/tuning_sweep_CIL_tune_003_lr-1em03-2026-04-02_11-51-11-5040-trial003/0,,,0.001
4,lr,0.06520841327568143,0.17096010347207388,0.4876992305119832,1.0,nan,nan,nan,89.61869740486145,logs/tuning/rwalk/2026-04-02_11-51-11-5040/runs/rwalk/tuning_sweep_CIL_tune_004_lr-3em04-2026-04-02_11-51-11-5040-trial004/0,,,0.0003
5,lr,0.07122988943149813,0.14026135702927908,0.4844948450724284,0.99954221645991,nan,nan,nan,91.19479322433472,logs/tuning/rwalk/2026-04-02_11-51-11-5040/runs/rwalk/tuning_sweep_CIL_tune_005_lr-1em04-2026-04-02_11-51-11-5040-trial005/0,,,0.0001
6,lr,0.0694525917833046,0.11312369008858998,0.4798326889673869,0.9998417297999064,nan,nan,nan,90.81732869148254,logs/tuning/rwalk/2026-04-02_11-51-11-5040/runs/rwalk/tuning_sweep_CIL_tune_006_lr-3em05-2026-04-02_11-51-11-5040-trial006/0,,,3e-05
7,lr,0.071438105135451,0.13775434345006943,0.4864516854286194,0.9993364612261454,nan,nan,nan,89.6639473438263,logs/tuning/rwalk/2026-04-02_11-51-11-5040/runs/rwalk/tuning_sweep_CIL_tune_007_lr-1em05-2026-04-02_11-51-11-5040-trial007/0,,,1e-05
8,lamb,0.08925271758778937,0.19704190889994302,0.4936963717142741,1.0,nan,nan,nan,90.79952549934387,logs/tuning/rwalk/2026-04-02_11-51-11-5040/runs/rwalk/tuning_sweep_CIL_tune_008_lamb-1em01-2026-04-02_11-51-11-5040-trial008/0,,0.1,0.001
9,lamb,0.08716455017758325,0.19438379257917404,0.4935937722524007,1.0,nan,nan,nan,90.04357647895813,logs/tuning/rwalk/2026-04-02_11-51-11-5040/runs/rwalk/tuning_sweep_CIL_tune_009_lamb-1-2026-04-02_11-51-11-5040-trial009/0,,1,0.001
10,lamb,0.08956221498506105,0.19663373877604803,0.492546945810318,1.0,nan,nan,nan,91.06957292556763,logs/tuning/rwalk/2026-04-02_11-51-11-5040/runs/rwalk/tuning_sweep_CIL_tune_010_lamb-10-2026-04-02_11-51-11-5040-trial010/0,,10,0.001
11,lamb,0.09305599892610082,0.18950898945331573,0.4888256887594859,1.0,nan,nan,nan,90.72259640693665,logs/tuning/rwalk/2026-04-02_11-51-11-5040/runs/rwalk/tuning_sweep_CIL_tune_011_lamb-100-2026-04-02_11-51-11-5040-trial011/0,,100,0.001
12,lamb,0.09604202357997604,0.18721423049767813,0.4883733292420705,1.0,nan,nan,nan,89.31990575790405,logs/tuning/rwalk/2026-04-02_11-51-11-5040/runs/rwalk/tuning_sweep_CIL_tune_012_lamb-1000-2026-04-02_11-51-11-5040-trial012/0,,1000,0.001
13,alpha,0.09583340307555858,0.18665441373984018,0.48956380287806195,1.0,nan,nan,nan,90.7626748085022,logs/tuning/rwalk/2026-04-02_11-51-11-5040/runs/rwalk/tuning_sweep_CIL_tune_013_alpha-1em01-2026-04-02_11-51-11-5040-trial013/0,0.1,1000,0.001
14,alpha,0.09414353971326901,0.18674726287523905,0.48809077342351276,1.0,nan,nan,nan,89.42098665237427,logs/tuning/rwalk/2026-04-02_11-51-11-5040/runs/rwalk/tuning_sweep_CIL_tune_014_alpha-3em01-2026-04-02_11-51-11-5040-trial014/0,0.3,1000,0.001
15,alpha,0.0953995133443561,0.1908372367421786,0.489176203807195,1.0,nan,nan,nan,91.72762966156006,logs/tuning/rwalk/2026-04-02_11-51-11-5040/runs/rwalk/tuning_sweep_CIL_tune_015_alpha-5em01-2026-04-02_11-51-11-5040-trial015/0,0.5,1000,0.001
16,alpha,0.0934838460316522,0.18700391302506128,0.48793134093284607,1.0,nan,nan,nan,90.03925037384033,logs/tuning/rwalk/2026-04-02_11-51-11-5040/runs/rwalk/tuning_sweep_CIL_tune_016_alpha-7em01-2026-04-02_11-51-11-5040-trial016/0,0.7,1000,0.001
17,alpha,0.09604202357997604,0.18721423049767813,0.4883733292420705,1.0,nan,nan,nan,90.36587452888489,logs/tuning/rwalk/2026-04-02_11-51-11-5040/runs/rwalk/tuning_sweep_CIL_tune_017_alpha-9em01-2026-04-02_11-51-11-5040-trial017/0,0.9,1000,0.001
